Department Name,Classification Name,Job Pay Rate,Job Start Date,Yrs Svc,Job Employer Status,Address Zip Code
RESOURCE CENTER,NURSING ASSIST,18.644,10/19/2020,0.333,Active Regular Pa,91737
MEDSURG 5 - (5 CENTR,NURSING ASSIST,26.234,1/11/2021,0.083,Active Full Time,91762
DOU3 - PCCU,NURSING ASSIST,20.555,1/11/2021,0.083,Active Full Time,92509
RESOURCE CENTER,NURSING ASSIST,26.234,10/9/2000,20.333,Active Regular Pa,92324
RESOURCE CENTER,NURSING ASSIST,26.234,4/9/2001,19.833,Active Full Time,91763
DOU3 - PCCU,NURSING ASSIST,23.795,2/13/2012,9.0,Active Regular Pa,92508
MEDSURG 5 - (5 CENTR,NURSING ASSIST,26.234,2/14/2000,21.0,Active Full Time,91750
OBSERVATION CARE,NURSING ASSIST,24.985,5/14/2012,8.75,Active Full Time,91752
DOU2 - SICU,NURSING ASSIST,22.662,8/8/2016,4.5,Active Full Time,91723
MEDSURG 4 - (4 CENTR,NURSING ASSIST,23.795,8/13/2012,8.5,Active Full Time,91761
TRAUMA ICU,NURSING ASSIST,22.662,1/9/2017,4.083,Active Full Time,91730
MEDSURG 4 - (4 CENTR,NURSING ASSIST,21.583,10/5/2020,0.333,Active Full Time,91786
RESOURCE CENTER,NURSING ASSIST,18.644,4/20/2020,0.833,Active Regular Pa,92377
DOU2 - SICU,NURSING ASSIST,26.234,12/10/2012,8.167,Active Full Time,91790
DOU3 - PCCU,NURSING ASSIST,26.234,7/14/2003,17.583,Active Full Time,92346
MEDSURG 4 - (4 CENTR,NURSING ASSIST,18.644,10/5/2020,0.333,Active Regular Pa,91768
MEDSURG 5 - (5 CENTR,NURSING ASSIST,22.662,11/14/2016,4.25,Active Regular Pa,91768
CVICU,NURSING ASSIST,19.576,6/10/2019,1.667,Active Full Time,91750
DOU3 - PCCU,NURSING ASSIST,26.234,10/19/2020,0.333,Active Full Time,91766
TRAUMA ICU,NURSING ASSIST,26.234,1/9/2017,4.083,Active Full Time,92342
RESOURCE CENTER,NURSING ASSIST,26.234,7/8/2013,7.583,Active Part Time,91737
MEDSURG 4 - (4 CENTR,NURSING ASSIST,26.234,12/12/2016,4.167,Active Full Time,92504
RESOURCE CENTER,NURSING ASSIST,24.985,11/9/2020,0.25,Active Regular Pa,91762
RESOURCE CENTER,NURSING ASSIST,26.234,10/19/2020,0.333,Active Part Time,92376
RESOURCE CENTER,NURSING ASSIST,19.576,2/11/2019,2.0,Active Full Time,91765
DOU3 - PCCU,NURSING ASSIST,26.234,11/13/2006,14.25,Active Full Time,92570
ICU,NURSING ASSIST,27.546,9/10/1990,30.417,Active Full Time,91762
TRAUMA ICU,NURSING ASSIST,22.662,1/9/2017,4.083,Active Full Time,91762
RESOURCE CENTER,NURSING ASSIST,18.644,7/13/2020,0.583,Active Part Time,91764
RESOURCE CENTER,NURSING ASSIST,26.234,6/23/2016,4.667,Active Part Time,91764
DOU3 - PCCU,NURSING ASSIST,26.234,10/8/2001,19.333,Active Full Time,92337
DOU2 - SICU,NURSING ASSIST,26.234,3/6/2007,13.917,RFT - LOA > 30 da,92336
MEDSURG 5 - (5 CENTR,NURSING ASSIST,26.234,12/12/2016,4.167,Active Full Time,92336
DOU2 - SICU,NURSING ASSIST,24.985,5/14/2012,8.75,Active Full Time,92223
DOU3 - PCCU,NURSING ASSIST,26.234,5/14/2007,13.75,Active Full Time,92345
DOU2 - SICU,NURSING ASSIST,26.234,4/8/2013,7.833,Active Full Time,90220
MEDSURG 4 - (4 CENTR,NURSING ASSIST,27.546,3/9/1987,33.917,RFT - LOA > 30 da,92407
MEDSURG 4 - (4 CENTR,NURSING ASSIST,23.795,4/11/2016,4.833,Active Regular Pa,92335
DOU6 - (6TH FLOOR),NURSING ASSIST,18.644,12/10/2018,2.167,Active Full Time,91702
MEDSURG 4 - (4 CENTR,NURSING ASSIST,24.985,3/14/2016,4.917,Active Full Time,91733
DOU3 - PCCU,NURSING ASSIST,26.234,10/19/2020,0.333,Active Full Time,91762
DOU3 - PCCU,NURSING ASSIST,26.234,1/23/2006,15.083,Active Full Time,91761
MEDSURG 4 - (4 CENTR,NURSING ASSIST,26.234,12/14/1998,22.167,Active Full Time,91761
DOU2 - SICU,NURSING ASSIST,26.234,11/12/2007,13.25,Active Full Time,92336
MEDSURG 5 - (5 CENTR,NURSING ASSIST,26.234,7/10/2000,20.583,Active Full Time,92336
DOU2 - SICU,NURSING ASSIST,26.234,11/29/2001,19.25,Active Full Time,92553
MEDSURG 4 - (4 CENTR,NURSING ASSIST,26.234,3/23/2005,15.917,RPT - LOA > 30 da,91730
RESOURCE CENTER,NURSING ASSIST,26.234,10/10/2016,4.333,Active Part Time,92324
RESOURCE CENTER,NURSING ASSIST,26.234,4/20/2020,0.833,Active Regular Pa,91768
DOU6 - (6TH FLOOR),NURSING ASSIST,26.234,8/13/2018,2.5,Active Full Time,92335
MEDSURG 5 - (5 CENTR,NURSING ASSIST,26.234,9/12/2005,15.417,Active Regular Pa,91766
RESOURCE CENTER,NURSING ASSIST,20.555,2/11/2019,2.0,Active Full Time,91786
DOU3 - PCCU,NURSING ASSIST,21.583,12/13/2002,18.167,Active Full Time,91730
RESOURCE CENTER,NURSING ASSIST,27.546,4/10/1995,25.833,Active Full Time,91701
DOU3 - PCCU,NURSING ASSIST,19.576,10/19/2020,0.333,Active Full Time,91730
MEDSURG 5 - (5 CENTR,NURSING ASSIST,26.234,7/10/2000,20.583,Active Full Time,91766
RESOURCE CENTER,NURSING ASSIST,24.985,7/8/2013,7.583,Per Diem - LOA,91730
ICU 3,NURSING ASSIST,26.234,2/11/2019,2.0,Active Regular Pa,91710
RESOURCE CENTER,NURSING ASSIST,26.234,11/23/2015,5.25,Active Part Time,92545
MEDSURG 5 - (5 CENTR,NURSING ASSIST,26.234,11/23/2015,5.25,RFT - LOA > 30 da,92377
ICU 3,NURSING ASSIST,26.234,4/12/2004,16.833,Active Full Time,92320
DOU6 - (6TH FLOOR),NURSING ASSIST,26.234,6/14/2005,15.667,RFT - LOA > 30 da,91786
RESOURCE CENTER,NURSING ASSIST,26.234,10/19/2020,0.333,Active Regular Pa,91786
MEDSURG 5 - (5 CENTR,NURSING ASSIST,26.234,4/11/2016,4.833,Active Full Time,91739
DOU6 - (6TH FLOOR),NURSING ASSIST,26.234,4/13/1997,23.833,Active Full Time,91764
RESOURCE CENTER,NURSING ASSIST,24.985,10/19/2020,0.333,Active Part Time,92504
DOU6 - (6TH FLOOR),NURSING ASSIST,26.234,11/10/2014,6.25,Active Full Time,92336
MEDSURG 5 - (5 CENTR,NURSING ASSIST,26.234,7/10/2006,14.583,Active Full Time,91762
MEDSURG 4 - (4 CENTR,NURSING ASSIST,24.985,9/10/2018,2.417,Active Full Time,91786
DOU3 - PCCU,NURSING ASSIST,26.234,11/12/2007,13.25,Active Full Time,91710
RESOURCE CENTER,NURSING ASSIST,22.662,1/11/2016,5.083,Active Part Time,92324
DOU3 - PCCU,NURSING ASSIST,23.795,2/13/2012,9.0,Active Full Time,92392
DOU2 - SICU,NURSING ASSIST,26.234,2/13/2006,15.0,Active Full Time,92392
MEDSURG 4 - (4 CENTR,NURSING ASSIST,26.234,5/8/2000,20.75,Active Regular Pa,92337
DOU6 - (6TH FLOOR),NURSING ASSIST,26.234,6/11/2018,2.667,Active Full Time,91766
RESOURCE CENTER,NURSING ASSIST,24.985,8/13/2018,2.5,Active Part Time,91786
CVICU,NURSING ASSIST,18.644,9/14/2020,0.417,Active Full Time,91723
MEDSURG 4 - (4 CENTR,NURSING ASSIST,26.234,1/14/2008,13.083,Active Full Time,92335
DOU2 - SICU,NURSING ASSIST,26.234,7/11/2005,15.583,RFT - LOA > 30 da,92336
DOU3 - PCCU,NURSING ASSIST,23.795,3/2/2015,5.917,Active Full Time,91767
DOU3 - PCCU,NURSING ASSIST,26.234,11/13/2006,14.25,Active Full Time,91792
ICU 3,NURSING ASSIST,20.555,8/11/2008,12.5,Active Full Time,91764
ICU,NURSING ASSIST,20.555,8/14/2017,3.5,Active Full Time,90604
DOU3 - PCCU,NURSING ASSIST,26.234,3/31/2008,12.917,Active Full Time,92324
DOU3 - PCCU,NURSING ASSIST,26.234,4/9/2007,13.833,Active Full Time,91762
MEDSURG 4 - (4 CENTR,NURSING ASSIST,26.234,8/14/2000,20.5,Active Regular Pa,91789
RESOURCE CENTER,NURSING ASSIST,26.234,10/8/2007,13.333,Active Full Time,91744
DOU3 - PCCU,NURSING ASSIST,26.234,4/13/1998,22.833,Active Full Time,92336
DIALYSIS,NURSING ASSIST,23.795,11/16/2015,5.25,Active Full Time,92376
CVICU,NURSING ASSIST,19.576,3/13/2017,3.917,Active Full Time,91733
DOU2 - SICU,NURSING ASSIST,21.583,12/5/2017,3.167,Active Full Time,92316
DOU3 - PCCU,NURSING ASSIST,26.234,8/14/2006,14.5,RFT - LOA > 30 da,91730
ICU 3,NURSING ASSIST,26.234,4/27/2009,11.833,Active Full Time,92376
CVICU,NURSING ASSIST,26.234,5/8/2006,14.75,Active Full Time,92404
DOU2 - SICU,NURSING ASSIST,26.234,7/13/1998,22.583,RFT - LOA > 30 da,92344
DOU6 - (6TH FLOOR),NURSING ASSIST,26.234,10/5/2015,5.333,RFT - LOA Workers,91786
TRAUMA ICU,NURSING ASSIST,26.234,9/29/2008,12.417,Active Full Time,91768
RESOURCE CENTER,NURSING ASSIST,18.644,11/9/2020,0.25,Active Part Time,91710
LDRP,NURSING ASSIST,23.795,9/8/2014,6.417,Active Full Time,92505
DOU2 - SICU,NURSING ASSIST,26.234,5/14/2007,13.75,Active Full Time,92880
DOU2 - SICU,NURSING ASSIST,26.234,1/12/2015,6.083,RFT - LOA > 30 da,91766
DOU2 - SICU,NURSING ASSIST,24.985,9/14/2015,5.417,RFT - LOA > 30 da,91766
RESOURCE CENTER,NURSING ASSIST,18.644,7/13/2020,0.583,Active Part Time,91766
TRAUMA ICU,NURSING ASSIST,20.555,8/26/2019,1.5,Active Full Time,91786
ICU,NURSING ASSIST,26.234,12/24/2003,17.167,Active Full Time,91730
DOU6 - (6TH FLOOR),NURSING ASSIST,26.234,8/13/2018,2.5,Active Full Time,91764
MEDSURG 5 - (5 CENTR,NURSING ASSIST,26.234,8/11/1997,23.5,Active Full Time,91701
DOU2 - SICU,NURSING ASSIST,26.234,9/14/2015,5.417,Active Full Time,91016
RESOURCE CENTER,NURSING ASSIST,22.662,7/13/2015,5.583,Active Part Time,92337
CVICU,NURSING ASSIST,26.234,6/10/2019,1.667,RFT - LOA Workers,92335
RESOURCE CENTER,NURSING ASSIST,24.985,3/12/2012,8.917,Active Full Time,91767
EMERGENCY DEPT,NURSING ASSIST,26.234,12/10/2012,8.167,Active Full Time,91761
DOU2 - SICU,NURSING ASSIST,26.234,2/11/2008,13.0,Active Full Time,92336
DOU3 - PCCU,NURSING ASSIST,20.555,5/14/2018,2.75,Active Full Time,93201
DOU3 - PCCU,NURSING ASSIST,26.234,8/14/2006,14.5,Active Full Time,92509
DOU3 - PCCU,NURSING ASSIST,26.234,2/28/2009,12.0,Active Full Time,91744
DOU3 - PCCU,NURSING ASSIST,23.795,3/11/2013,7.917,Active Regular Pa,92301
MEDSURG 4 - (4 CENTR,NURSING ASSIST,21.583,5/9/2016,4.75,RFT - LOA Workers,91730
CATH LAB,NURSING ASSIST,26.234,3/21/2003,17.917,Active Regular Pa,92335
RESOURCE CENTER,NURSING ASSIST,22.662,3/26/2015,5.917,RFT - LOA > 30 da,91766
DOU2 - SICU,NURSING ASSIST,26.234,2/11/2013,8.0,Active Full Time,92336
RESOURCE CENTER,NURSING ASSIST,23.795,9/8/2014,6.417,Active Full Time,91784
RESOURCE CENTER,NURSING ASSIST,27.546,8/14/1989,31.5,Active Part Time,92880
DOU3 - PCCU,NURSING ASSIST,26.234,2/14/2000,21.0,Active Full Time,92336
OBSERVATION CARE,NURSING ASSIST,26.234,2/16/2008,13.0,Active Full Time,91767
ICU,NURSING ASSIST,19.576,5/8/2017,3.75,RFT - LOA > 30 da,90640
DOU6 - (6TH FLOOR),NURSING ASSIST,20.555,12/5/2016,4.167,Active Full Time,91790
MEDSURG 5 - (5 CENTR,NURSING ASSIST,21.583,1/11/2021,0.083,Active Full Time,91768
DOU2 - SICU,NURSING ASSIST,26.234,2/14/2005,16.0,RFT - LOA > 30 da,91750
RESOURCE CENTER,NURSING ASSIST,24.985,5/12/2008,12.75,Active Full Time,92316
DOU6 - (6TH FLOOR),NURSING ASSIST,26.234,5/13/1996,24.75,Active Full Time,92509
MEDSURG 4 - (4 CENTR,NURSING ASSIST,18.644,3/9/2020,0.917,Active Full Time,91763
RESOURCE CENTER,NURSING ASSIST,21.583,6/28/2017,3.667,Active Regular Pa,92410
MEDSURG 5 - (5 CENTR,NURSING ASSIST,26.234,4/8/1996,24.833,Active Full Time,91762
OBSERVATION CARE,NURSING ASSIST,24.985,9/9/2013,7.417,Active Full Time,92395
MEDSURG 5 - (5 CENTR,NURSING ASSIST,27.546,6/12/1995,25.667,Active Full Time,91739
DOU3 - PCCU,NURSING ASSIST,26.234,2/12/2007,14.0,Active Full Time,91701
NURSE STAFFING,NURSING SERV SYS ANA,48.534,4/14/1997,23.833,Active Full Time,91710
SURGERY,NURSING SERV SYS ANA,48.534,2/9/2004,17.0,Active Full Time,92337
OCCUPATIONAL THERAPY,OCC THER ASSIST,39.615,3/3/2003,17.917,Active Regular Pa,92359
OCCUPATIONAL THERAPY,OCC THER ASSIST,28.152,1/4/2021,0.083,Active Part Time,92336
LDRP O.R.,"OFFICE COORD, LDRP",30.099,9/11/2000,20.417,Active Full Time,92508
SECURITY,"OFFICER, K-9 SECURIT",21.664,1/8/2018,3.083,Active Full Time,91766
SECURITY,"OFFICER, K-9 SECURIT",23.884,5/10/2004,16.75,Active Full Time,91767
SECURITY,"OFFICER, K-9 SECURIT",22.746,9/14/2015,5.417,Active Full Time,92372
SECURITY,"OFFICER, LEAD SECURI",24.998,7/9/2000,20.583,Active Full Time,91767
SECURITY,"OFFICER, LEAD SECURI",24.998,3/11/2019,1.917,Active Full Time,91762
SECURITY,"OFFICER, LEAD SECURI",24.998,4/10/2017,3.833,Active Full Time,91710
SECURITY,"OFFICER, SECURITY",23.804,10/5/1990,30.333,Active Full Time,91763
SECURITY,"OFFICER, SECURITY",22.671,10/1/2018,2.333,Active Full Time,91765
SECURITY,"OFFICER, SECURITY",21.59,10/1/2018,2.333,Active Full Time,91752
SECURITY,"OFFICER, SECURITY",22.671,7/11/2016,4.583,Active Full Time,91702
SECURITY,"OFFICER, SECURITY",22.671,3/9/2020,0.917,Active Full Time,92395
SECURITY,"OFFICER, SECURITY",17.762,3/12/2018,2.917,Active Full Time,91786
SECURITY,"OFFICER, SECURITY",16.916,6/8/2020,0.667,Active Part Time,91746
SECURITY,"OFFICER, SECURITY",22.671,5/1/2017,3.75,Active Full Time,91766
SECURITY,"OFFICER, SECURITY",21.59,4/13/2015,5.833,RFT - LOA > 30 da,91767
SECURITY,"OFFICER, SECURITY",21.59,3/9/2020,0.917,Active Full Time,91750
SECURITY,"OFFICER, SECURITY",22.671,9/9/2019,1.417,Active Full Time,91764
SECURITY,"OFFICER, SECURITY",16.11,11/9/2020,0.25,Active Part Time,91766
SECURITY,"OFFICER, SECURITY",20.562,3/5/2018,2.917,Active Regular Pa,92411
SECURITY,"OFFICER, SECURITY",23.804,7/23/1986,34.583,Active Full Time,91710
SECURITY,"OFFICER, SECURITY",19.582,3/2/2020,0.917,Active Part Time,92503
SECURITY,"OFFICER, SECURITY",22.671,2/2/2015,6.0,Active Part Time,91767
SECURITY,"OFFICER, SECURITY",22.671,11/11/2019,1.25,Active Full Time,92336
SECURITY,"OFFICER, SECURITY",22.671,1/9/2017,4.083,Active Full Time,91766
SECURITY,"OFFICER, SECURITY",18.65,11/11/2019,1.25,Active Full Time,91766
SECURITY,"OFFICER, SECURITY",22.671,8/12/2019,1.5,Active Part Time,92336
SECURITY,"OFFICER, SECURITY",21.59,10/1/2018,2.333,RFT - LOA > 30 da,91730
SECURITY,"OFFICER, SECURITY",22.671,11/12/2018,2.25,Active Full Time,91723
SECURITY,"OFFICER, SECURITY",22.671,2/9/2015,6.0,RFT - LOA Workers,91762
SECURITY,"OFFICER, SECURITY",20.562,1/8/2018,3.083,Active Full Time,92880
SECURITY,"OFFICER, SECURITY",22.671,3/9/2020,0.917,Active Part Time,92335
SECURITY,"OFFICER, SECURITY",20.562,11/11/2019,1.25,Active Part Time,92336
SECURITY,"OFFICER, SECURITY",22.671,9/17/2018,2.417,Active Full Time,91711
SECURITY,"OFFICER, SECURITY",22.671,11/12/2018,2.25,Active Full Time,92504
SECURITY,"OFFICER, SECURITY",22.671,11/4/2019,1.25,Active Full Time,92313
SECURITY,"OFFICER, SECURITY",19.582,2/5/2018,3.0,Active Full Time,91766
SECURITY,"OFFICER, SECURITY",22.671,8/18/2014,6.5,Active Full Time,91767
SECURITY,"OFFICER, SECURITY",22.671,9/16/2020,0.417,Active Part Time,92335
SECURITY,"OFFICER, SECURITY",17.762,8/10/2020,0.5,Active Part Time,92346
SECURITY,"OFFICER, SECURITY",21.59,10/8/2018,2.333,Active Full Time,91767
SECURITY,"OFFICER, SECURITY",22.671,3/13/2017,3.917,RFT - LOA > 30 da,92410
SECURITY,"OFFICER, SECURITY",22.671,12/15/2004,16.167,Active Full Time,91768
SECURITY,"OFFICER, SECURITY",22.671,7/13/2020,0.583,Active Full Time,91730
SECURITY,"OFFICER, SECURITY",19.582,1/26/2015,6.083,Per Diem - LOA,91710
SECURITY,"OFFICER, SECURITY",22.671,6/23/2020,0.667,Active Part Time,92336
SECURITY,"OFFICER, SECURITY",22.671,3/11/2019,1.917,Active Full Time,91730
SECURITY,"OFFICER, SECURITY",18.65,7/8/2019,1.583,Active Part Time,91730
SECURITY,"OFFICER, SECURITY",20.562,1/13/2020,1.083,Active Full Time,92394
SECURITY,"OFFICER, SECURITY",22.671,7/13/2020,0.583,Per Diem - LOA,90063
SECURITY,"OFFICER, SECURITY",22.671,7/27/2016,4.583,Active Full Time,92335
SECURITY,"OFFICER, SECURITY",16.916,2/9/2017,4.0,Active Full Time,91786
SECURITY,"OFFICER, SECURITY",22.671,5/8/2017,3.75,Active Full Time,91710
SECURITY,"OFFICER, SECURITY",21.59,12/9/2019,1.167,Active Regular Pa,91768
SECURITY,"OFFICER, SECURITY",22.671,4/13/2020,0.833,Active Full Time,92411
SECURITY,"OFFICER, SECURITY",22.671,3/9/2009,11.917,Active Full Time,91768
SECURITY,"OFFICER, SECURITY",19.582,2/10/2020,1.0,Active Full Time,91759
SECURITY,"OFFICER, SECURITY",22.671,4/8/2019,1.833,Active Full Time,91711
SECURITY,"OFFICER, SECURITY",22.671,8/12/2019,1.5,Active Full Time,92335
SURGERY,ORTHO TECH,28.09,6/7/2010,10.667,Active Full Time,91711
SURGERY,ORTHO TECH,29.495,11/14/1994,26.25,Active Full Time,91766
SURGERY,ORTHO TECH,28.09,3/3/2003,17.917,Active Full Time,91768
SURGERY,"ORTHO TECH, SURGERY",34.23,2/10/2020,1.0,Active Part Time,91768
SURGERY,"ORTHO TECH, SURGERY",34.23,11/13/1995,25.25,RFT - LOA Workers,91730
PLANT OPERATIONS,PAINTER,31.734,11/25/2018,2.25,Active Full Time,91710
PLANT OPERATIONS,PAINTER,31.734,3/1/2004,16.917,Active Full Time,91710
PLANT OPERATIONS,PAINTER,31.734,1/13/2020,1.083,Active Full Time,90240
PLANT OPERATIONS,PAINTER,30.223,12/28/2020,0.167,Active Full Time,91766
LDRP,PATIENT CARE SUPPORT,25.991,2/3/1979,42.0,Active Full Time,91710
ICU,PATIENT CARE SUPPORT,25.991,5/11/1981,39.75,Active Full Time,91767
CVICU,PATIENT CARE SUPPORT,24.753,4/13/1998,22.833,Active Full Time,91764
OBSERVATION CARE,PATIENT CARE SUPPORT,24.753,2/22/2007,14.0,RFT - LOA > 30 da,92336
MEDSURG 5 - (5 CENTR,PATIENT CARE SUPPORT,24.753,8/14/2006,14.5,Active Full Time,92336
LDRP,PATIENT CARE SUPPORT,25.991,2/19/1976,45.0,Active Regular Pa,92324
MEDSURG 4 - (4 CENTR,PATIENT CARE SUPPORT,25.991,7/14/1980,40.583,Active Full Time,92410
MEDSURG 4 - (4 CENTR,PATIENT CARE SUPPORT,19.395,4/25/2016,4.833,Active Full Time,91786
MEDSURG 5 - (5 CENTR,PATIENT CARE SUPPORT,19.395,12/5/2011,9.167,Active Full Time,92335
OBSERVATION CARE,PATIENT CARE SUPPORT,24.753,12/12/2005,15.167,Active Full Time,92376
MEDSURG 5 - (5 CENTR,PATIENT CARE SUPPORT,25.991,4/13/1992,28.833,Active Full Time,91766
LDRP,PATIENT CARE SUPPORT,24.753,6/27/2007,13.667,RFT - LOA > 30 da,92377
CVICU,PATIENT CARE SUPPORT,24.753,5/9/2011,9.75,Active Full Time,91762
LDRP,PATIENT CARE SUPPORT,24.753,8/7/2001,19.5,Active Full Time,91710
ICU 3,PATIENT CARE SUPPORT,25.991,3/14/1988,32.917,Active Full Time,92392
DOU6 - (6TH FLOOR),PATIENT CARE SUPPORT,19.395,7/12/2010,10.583,Active Part Time,92883
LDRP,PATIENT CARE SUPPORT,24.753,8/13/2012,8.5,Active Full Time,91739
DOU2 - SICU,PATIENT CARE SUPPORT,25.991,7/24/1989,31.583,RFT - LOA > 30 da,91761
ICU 3,PATIENT CARE SUPPORT,25.991,6/11/1990,30.667,Active Full Time,91711
LDRP,PATIENT CARE SUPPORT,25.991,11/14/1994,26.25,Active Regular Pa,91766
LDRP,PATIENT CARE SUPPORT,25.991,1/10/1994,27.083,Active Regular Pa,92335
SURGERY,PATIENT CARE SUPPORT,21.383,7/18/2014,6.583,Active Full Time,91766
LDRP,PATIENT CARE SUPPORT,24.753,3/12/2007,13.917,Active Full Time,91767
LDRP,PATIENT CARE SUPPORT,24.753,10/13/1997,23.333,Active Full Time,91767
DOU2 - SICU,PATIENT CARE SUPPORT,25.991,2/19/1990,31.0,RFT - LOA > 30 da,91730
DOU3 - PCCU,PATIENT CARE SUPPORT,24.753,7/9/2001,19.583,Active Full Time,91766
LDRP,PATIENT CARE SUPPORT,24.753,4/8/2002,18.833,RFT - LOA > 30 da,92571
G.I. LAB,PATIENT CARE SUPPORT,26.874,8/14/1995,25.5,Active Full Time,91764
SURGERY OP PAVILION,PATIENT CARE SUPPORT,19.395,1/25/2016,5.083,Active Full Time,91722
DOU3 - PCCU,PATIENT CARE SUPPORT,24.753,3/13/2000,20.917,Active Full Time,91786
LDRP,PATIENT CARE SUPPORT,20.364,5/1/2017,3.75,Active Full Time,91746
LDRP,PATIENT CARE SUPPORT,20.364,4/20/2015,5.833,Active Full Time,91761
LDRP,PATIENT CARE SUPPORT,22.451,8/11/2014,6.5,Active Full Time,91768
SURGERY,PATIENT CARE SUPPORT,24.753,6/8/2009,11.667,RFT - LOA > 30 da,91766
DOU2 - SICU,PATIENT CARE SUPPORT,24.753,3/14/2005,15.917,Active Full Time,92806
LDRP,PATIENT CARE SUPPORT,25.991,3/15/1993,27.917,Active Full Time,92324
LDRP,PATIENT CARE SUPPORT,25.991,8/8/1988,32.5,Active Full Time,91786
MEDSURG 5 - (5 CENTR,PATIENT CARE SUPPORT,22.451,11/2/2015,5.25,Active Full Time,91702
DOU6 - (6TH FLOOR),PATIENT CARE SUPPORT,19.395,12/10/2007,13.167,Active Full Time,91767
LDRP,PATIENT CARE SUPPORT,25.991,12/8/1994,26.167,Active Full Time,92335
OBSERVATION CARE,PATIENT CARE SUPPORT,24.753,4/13/2009,11.833,Active Full Time,92336
SURGERY OP PAVILION,PATIENT CARE SUPPORT,24.753,2/1/2017,4.0,Active Full Time,91739
DOU6 - (6TH FLOOR),PATIENT CARE SUPPORT,18.471,4/8/2019,1.833,Active Part Time,92335
LDRP,PATIENT CARE SUPPORT,25.991,12/4/1989,31.167,Active Full Time,91762
OBSERVATION CARE,PATIENT CARE SUPPORT,24.753,9/10/2012,8.417,Active Regular Pa,91768
LDRP,PATIENT CARE SUPPORT,24.753,7/7/2000,20.583,RFT - LOA > 30 da,91730
DOU6 - (6TH FLOOR),PATIENT CARE SUPPORT,24.753,6/12/2000,20.667,Active Full Time,92316
MEDSURG 5 - (5 CENTR,PATIENT CARE SUPPORT,18.471,11/11/2019,1.25,Active Full Time,91762
LDRP,PATIENT CARE SUPPORT,17.591,1/16/2018,3.083,Active Full Time,91767
ICU,PATIENT CARE SUPPORT,25.991,3/9/1992,28.917,Active Regular Pa,92509
MEDSURG 5 - (5 CENTR,PATIENT CARE SUPPORT,18.471,6/12/2018,2.667,Active Part Time,91723
LDRP,PATIENT CARE SUPPORT,21.383,2/8/2016,5.0,Active Full Time,91767
CVICU,PATIENT CARE SUPPORT,24.753,1/11/1999,22.083,Active Full Time,91762
ICU,PATIENT CARE SUPPORT,22.451,3/18/2003,17.917,Active Full Time,91763
DOU3 - PCCU,PATIENT CARE SUPPORT,24.753,7/23/2007,13.583,Active Full Time,91767
MEDSURG 4 - (4 CENTR,PATIENT CARE SUPPORT,18.471,8/12/2019,1.5,Active Part Time,91724
MEDSURG 4 - (4 CENTR,PATIENT CARE SUPPORT,23.574,11/7/2016,4.25,Active Regular Pa,92880
MEDSURG 5 - (5 CENTR,PATIENT CARE SUPPORT,18.471,11/11/2019,1.25,Active Full Time,91768
LDRP,PATIENT CARE SUPPORT,24.753,9/11/2000,20.417,Active Full Time,91752
MEDSURG 4 - (4 CENTR,PATIENT CARE SUPPORT,24.753,11/28/2001,19.25,Active Full Time,91768
CVICU,PATIENT CARE SUPPORT,25.991,12/12/1994,26.167,Active Full Time,91730
MEDSURG 5 - (5 CENTR,PATIENT CARE SUPPORT,18.471,11/11/2019,1.25,Active Full Time,91750
MEDSURG 5 - (5 CENTR,PATIENT CARE SUPPORT,24.753,2/8/2016,5.0,Active Full Time,91763
SURGERY,PATIENT CARE SUPPORT,18.471,2/8/2016,5.0,Active Full Time,91767
ICU 3,PATIENT CARE SUPPORT,24.753,6/25/2012,8.667,RPT - LOA > 30 da,91761
LDRP,PATIENT CARE SUPPORT,24.753,12/21/1997,23.167,Active Full Time,91767
DOU3 - PCCU,PATIENT CARE SUPPORT,24.753,3/9/2006,14.917,Active Full Time,92316
MEDSURG 5 - (5 CENTR,PATIENT CARE SUPPORT,18.471,11/11/2019,1.25,Active Full Time,92392
LDRP,PATIENT CARE SUPPORT,20.364,7/11/2016,4.583,Active Full Time,92336
CVICU,PATIENT CARE SUPPORT,24.753,8/21/2001,19.5,Active Full Time,90670
LDRP,PATIENT CARE SUPPORT,24.753,8/12/1996,24.5,Active Full Time,91762
LDRP,PATIENT CARE SUPPORT,25.991,10/19/1992,28.333,Active Full Time,91730
LDRP,PATIENT CARE SUPPORT,24.753,3/12/2007,13.917,Active Full Time,91744
DOU6 - (6TH FLOOR),PATIENT CARE SUPPORT,21.383,6/11/2018,2.667,Active Full Time,91773
OBSERVATION CARE,PATIENT CARE SUPPORT,23.574,5/9/2011,9.75,Active Full Time,91761
DOU3 - PCCU,PATIENT CARE SUPPORT,24.753,10/8/2001,19.333,Active Full Time,92377
DOU6 - (6TH FLOOR),PATIENT CARE SUPPORT,22.451,5/14/2018,2.75,Active Full Time,91750
MEDSURG 4 - (4 CENTR,PATIENT CARE SUPPORT,18.471,4/2/2018,2.833,Active Regular Pa,91724
MEDSURG 5 - (5 CENTR,PATIENT CARE SUPPORT,17.591,12/16/2020,0.167,Active Full Time,91767
DOU3 - PCCU,PATIENT CARE SUPPORT,24.753,5/17/2001,19.75,Active Full Time,91762
MEDSURG 4 - (4 CENTR,PATIENT CARE SUPPORT,19.395,6/12/2017,3.667,Active Part Time,91766
